"Chapter","Member_type","Count"
"Blue Mountain","Additional","4"
"Blue Mountain","Associate","1"
"Blue Mountain","GenMemA","2"
"Blue Mountain","GenMemB","3"
"Blue Mountain","GenMemC","1"
"Clark","Additional","16"
"Clark","Associate","12"
"Clark","GenMemA","148"
"Clark","GenMemB","33"
"Clark","GenMemC","9"
"Clark","LifeMem","26"
"Cowlitz","Additional","24"
"Cowlitz","Associate","5"
"Cowlitz","GenMemA","33"
"Cowlitz","GenMemB","7"
"Cowlitz","GenMemC","10"
"Cowlitz","LifeMem","4"
"Grays Harbor","Additional","22"
"Grays Harbor","Associate","1"
"Grays Harbor","GenMemA","15"
"Grays Harbor","GenMemB","10"
"Grays Harbor","GenMemC","6"
"Grays Harbor","LifeMem","8"
"Kittitas","Additional","9"
"Kittitas","Associate","3"
"Kittitas","GenMemA","38"
"Kittitas","GenMemB","14"
"Kittitas","GenMemC","5"
"Kittitas","LifeMem","1"
"Lewis","Additional","59"
"Lewis","Associate","11"
"Lewis","GenMemA","82"
"Lewis","GenMemB","66"
"Lewis","GenMemC","28"
"Lewis","LifeMem","13"
"Mt Adams","Additional","8"
"Mt Adams","GenMemA","8"
"Mt Adams","GenMemB","5"
"Mt Adams","LifeMem","1"
"North Central","Additional","7"
"North Central","GenMemA","11"
"North Central","GenMemB","4"
"North Central","GenMemC","5"
"North Central","LifeMem","3"
"Northeast Washington","Additional","17"
"Northeast Washington","Associate","6"
"Northeast Washington","GenMemA","46"
"Northeast Washington","GenMemB","25"
"Northeast Washington","GenMemC","16"
"Northeast Washington","LifeMem","9"
"Olympic","Additional","12"
"Olympic","Associate","2"
"Olympic","GenMemA","20"
"Olympic","GenMemB","12"
"Olympic","GenMemC","7"
"Olympic","LifeMem","6"
"Pacific","Additional","22"
"Pacific","Associate","3"
"Pacific","GenMemA","29"
"Pacific","GenMemB","13"
"Pacific","GenMemC","3"
"Pacific","LifeMem","2"
"Pierce","Additional","18"
"Pierce","Associate","5"
"Pierce","GenMemA","41"
"Pierce","GenMemB","12"
"Pierce","GenMemC","5"
"Pierce","LifeMem","5"
"South Sound","Additional","46"
"South Sound","Associate","10"
"South Sound","GenMemA","35"
"South Sound","GenMemB","8"
"South Sound","GenMemC","8"
"South Sound","LifeMem","8"
"Spokane","Additional","15"
"Spokane","Associate","2"
"Spokane","GenMemA","16"
"Spokane","GenMemB","13"
"Spokane","GenMemC","3"
"Spokane","LifeMem","3"
"Upper Puget Sound","Additional","12"
"Upper Puget Sound","Associate","6"
"Upper Puget Sound","GenMemA","35"
"Upper Puget Sound","GenMemB","23"
"Upper Puget Sound","GenMemC","6"
"Upper Puget Sound","LifeMem","14"
"Whatcom","Additional","20"
"Whatcom","Associate","5"
"Whatcom","GenMemA","36"
"Whatcom","GenMemB","17"
"Whatcom","GenMemC","2"
"Whatcom","LifeMem","2"
